"title","length","budget","rating","mpaa"
"Kama Sutra: A Tale of Love",114,3000000,5.5,"R"
"Kangaroo Jack",89,60000000,3.9,"PG"
"Kansas City",116,19000000,5.8,"R"
"Karakter",122,4500000,7.7,"R"
"Kate & Leopold",123,48000000,6.3,"PG-13"
"Kayitz Shel Aviya, Ha-",95,350000,7.3,"Missing"
"Kaze, Ghost Warrior",23,5000,7.4,"Missing"
"Keane",100,850000,6.3,"R"
"Keep, The",96,6000000,5.4,"Missing"
"Keeper of the Past",18,30000,9.9,"Missing"
"Keeper, The",95,4000000,4.5,"Missing"
"Keeping the Faith",128,30000000,6.8,"PG-13"
"Kejar Amerika",86,100000,6.7,"PG-13"
"Kentucky Fried Movie, The",90,600000,6.4,"Missing"
"Key West: City of Colors",64,90000,8.4,"Missing"
"Keyhole, The",69,169000,6.3,"Missing"
"Keys of the Kingdom, The",137,3000000,6.8,"Missing"
"Khwaab",86,75000,8,"Missing"
"Kicked in the Head",87,4000000,4.2,"R"
"Kid from Borneo, The",18,21500,8,"Missing"
"Kid, The",54,250000,8.2,"Missing"
"Kid, The",104,65000000,6.1,"PG"
"Kids",91,1500000,6.6,"Missing"
"Kids Are Alright, The",101,2000000,7.6,"Missing"
"Kiki",87,810568,6.8,"Missing"
"Kill Bill: Vol. 1",111,55000000,8.3,"R"
"Kill Bill: Vol. 2",136,30000000,8.3,"R"
"Kill Me Again",94,4000000,6.2,"Missing"
"Kill the Scream Queen",74,5000,1.3,"Missing"
"Killer Bean 2: The Party",7,2800,7,"Missing"
"Killer Eye, The",72,400000,2.2,"R"
"Killer Klowns from Outer Space",88,2000000,5.3,"Missing"
"Killer Shrews, The",69,123000,3.3,"Missing"
"Killer of Sheep",83,100000,7.5,"Missing"
"Killer's Kiss",67,75000,6.6,"Missing"
"Killers",90,100000,6.3,"Missing"
"Killers",86,100000,2.8,"R"
"Killing Box, The",80,1200000,4,"Missing"
"Killing Kevin",22,20000,8,"Missing"
"Killing Me Softly",104,25000000,5.4,"R"
"Killing Spree",90,75000,3.6,"Missing"
"Killing Zoe",99,1500000,6.2,"Missing"
"Killing, The",85,320000,8.1,"Missing"
"Kimberly",106,2000000,5.3,"R"
"King & Country",89,300000,7.9,"Missing"
"King Arthur",140,90000000,6,"R"
"King Kong",100,670000,7.9,"Missing"
"King Kong",134,24000000,5.3,"Missing"
"King Richard and the Crusaders",114,3000000,5.3,"Missing"
"King Solomon's Mines",100,12500000,4.4,"Missing"
"King of Comedy, The",109,20000000,7.5,"Missing"
"King of Jazz, The",105,2000000,6.8,"Missing"
"King of Kings, The",155,2500000,7.9,"Missing"
"King of the Hill",18,45000,9.6,"Missing"
"King of the Hill",109,8000000,7.4,"Missing"
"King of the Mountain",90,2000000,4.1,"Missing"
"Kingdom of Heaven",145,130000000,7,"R"
"Kingdom of the Spiders",97,500000,5.4,"Missing"
"Kingdom of the Vampire",70,2500,6.6,"Missing"
"Kingpin",117,25000000,6.6,"PG-13"
"Kinky Coaches and the Pom Pom Pussycats, The",91,2500000,1.9,"Missing"
"Kinsey",118,11000000,7.6,"R"
"Kismet",100,3000000,6.2,"Missing"
"Kismet",113,2692960,5.8,"Missing"
"Kiss & Tell",96,1000000,5.7,"Missing"
"Kiss Me, Stupid",125,3500000,7,"Missing"
"Kiss of the Dragon",98,25000000,6.2,"R"
"Kiss of the Tarantula",85,200000,3.8,"Missing"
"Kiss on the Nose, A",13,25000,9.5,"Missing"
"Kiss or Kill",96,2000000,6.2,"R"
"Kiss the Blood Off My Hands",79,1100000,5.9,"Missing"
"Kiss the Girls",111,27000000,6.4,"R"
"Kiss the Sky",107,6000000,5.6,"R"
"Kiss, The",89,257000,6.3,"Missing"
"Kiss, The",25,6000,5.8,"PG-13"
"Kissin' Cousins",96,800000,4.3,"Missing"
"Kissing Jessica Stein",97,1000000,7,"R"
"Klansman, The",112,5000000,4.3,"Missing"
"Knack, The",84,364000,6.7,"Missing"
"Knight's Tale, A",132,41000000,6.5,"PG-13"
"Knock Off",91,35000000,3.8,"R"
"Kohav Ha'Kahol, Ha-",86,100000,7.2,"Missing"
"Konga",90,500000,3.1,"Missing"
"Kontroll",107,500000,7.8,"R"
"Korea",87,500000,6.2,"Missing"
"Krasnaya palatka",121,10000000,5.9,"Missing"
"Krokus: As Long as We Live",82,200000,7.3,"Missing"
"Kronos",78,160000,5.4,"Missing"
"Kruimeltje",119,5000000,6.7,"Missing"
"Krush Groove",97,3000000,5.5,"Missing"
"Kundun",128,28000000,7.1,"PG-13"
"Kung Pow: Enter the Fist",82,10000000,5.1,"PG-13"
"L.A. Confidential",138,35000000,8.4,"Missing"
"L.A. Knights",20,15000,2.5,"Missing"
"L.A. Twister",92,450000,6.4,"Missing"
"LD 50 Lethal Dose",97,8000000,5,"R"
"La Cucaracha",20,50000,6.2,"Missing"
"Labyrinth",101,25000000,7,"Missing"
"Lady Be Good",112,863460,6.6,"Missing"
"Lady Windermere's Fan",89,320000,7.8,"Missing"
"Lady and the Tramp",75,4000000,7.4,"Missing"
"Lady from Shanghai, The",79,2000000,7.6,"Missing"
"Lady in White",112,4700000,6.7,"Missing"
"Lady of the Lake",82,60000,3.9,"R"
"Ladyhawke",121,20000000,6.8,"Missing"
"Ladykillers, The",104,35000000,6.4,"R"
"Lair of the White Worm, The",93,2500000,5.4,"Missing"
"Lake Placid",82,27000000,5.2,"R"
"Lana's Rain",107,215000,7.1,"R"
"Land Before Time, The",70,12300000,6.4,"Missing"
"Land of College Prophets, The",83,80000,6.5,"Missing"
"Land of the Pharaohs",105,2900000,6.3,"Missing"
"Lara Croft Tomb Raider: The Cradle of Life",117,90000000,5.2,"PG-13"
"Lara Croft: Tomb Raider",100,80000000,5.2,"PG-13"
"Las Vegas Weekend",83,2000000,1.1,"Missing"
"Lashou shentan",131,4500000,7.9,"R"
"Last Action Hero",130,60000000,5.4,"Missing"
"Last Big Attraction, The",90,60000,2.6,"Missing"
"Last Breeze of Summer",30,60000,7.6,"Missing"
"Last Broadcast, The",86,0,5.7,"Missing"
"Last Castle, The",131,60000000,6.4,"R"
"Last Chair",30,25000,9,"Missing"
"Last Chase, The",101,4900000,4.3,"Missing"
"Last Days of Pompeii, The",96,1000000,6.5,"Missing"
"Last Dragon, The",109,10000000,5.6,"Missing"
"Last Emperor, The",219,25000000,7.7,"Missing"
"Last Full Measure, The",18,50000,7.5,"Missing"
"Last Horror Film, The",87,2000000,3.9,"Missing"
"Last Horror Movie, The",80,780000,5.2,"R"
"Last House on the Left, The",85,87000,5.5,"Missing"
"Last Man Standing",101,67000000,5.7,"R"
"Last Movie, The",108,1000000,3.9,"Missing"
"Last Orders",109,12000000,7.1,"R"
"Last Party 2000",90,1000000,6.3,"Missing"
"Last Patrol, The",95,8200000,2.9,"PG-13"
"Last Picture Show, The",118,1300000,8,"R"
"Last Resort, The",86,5000000,5,"PG-13"
"Last Rung On the Ladder, The",12,1500,5.5,"Missing"
"Last Samurai, The",154,100000000,7.9,"R"
"Last Seduction, The",110,2500000,7.2,"Missing"
"Last Soviet Movie, The",80,3500000,7.6,"Missing"
"Last Stagecoach West, The",87,150000,6.3,"Missing"
"Last Starfighter, The",101,15000000,6.2,"Missing"
"Last Temptation of Christ, The",164,7000000,7.5,"Missing"
"Last Time I Committed Suicide, The",92,4000000,5.3,"R"
"Last Time I Saw Archie, The",98,2000000,5.7,"Missing"
"Last Word",16,8500,8,"Missing"
"Last of the Mohicans, The",117,40000000,7.5,"Missing"
"Late Bloomer",13,12000,9,"Missing"
"Late Veracity",20,50000,8,"Missing"
"Latter Days",107,850000,7.3,"R"
"Laughing Dead",85,200000,7.6,"Missing"
"Lawn Dogs",101,8000000,7.5,"R"
"Lawnmower Man, The",12,5000,5.6,"Missing"
"Lawnmower Man, The",140,10000000,5,"Missing"
"Lawrence of Arabia",227,15000000,8.6,"Missing"
"Laws of Attraction",90,28000000,5.7,"PG-13"
"Laws of Gravity",100,38000,6.5,"Missing"
"League of Extraordinary Gentlemen, The",110,78000000,5.4,"PG-13"
"League of Their Own, A",128,40000000,6.9,"Missing"
"Learning Curve, The",113,1000000,5.2,"R"
"Leather Jacket Love Story",85,67000,6.1,"Missing"
"Leather and Iron",90,650000,5.5,"Missing"
"Leave It!",28,30000,8.8,"Missing"
"Leaving Las Vegas",111,4000000,7.5,"R"
"Leftenan Adnan",127,8000000,7.6,"Missing"
"Legacy, The",102,2500000,5,"Missing"
"Legal Eagles",116,35000000,5.6,"Missing"
"Legally Blonde",96,18000000,6.4,"PG-13"
"Legally Blonde 2: Red, White & Blonde",95,45000000,4.4,"PG-13"
"Legend",89,25000000,6.1,"Missing"
"Legend of Bagger Vance, The",126,60000000,6.4,"PG-13"
"Legend of Blood Mountain, The",65,750000,1.1,"Missing"
"Legend of Boggy Creek, The",85,100000,4.3,"Missing"
"Legend of Razorback, The",25,50000,5.1,"Missing"
"Legend of the Lone Ranger, The",98,18000000,4.3,"Missing"
"Legend of the Lost",109,1750000,4.8,"Missing"
"Legend of the Mummy",96,2000000,2.4,"R"
"Legends of the Fall",133,30000000,6.7,"Missing"
"Leggenda del pianista sull'oceano, La",120,9000000,7.6,"R"
"Legion of the Dead",92,2700000,3.4,"R"
"Legion of the Night",85,80000,4,"Missing"
"Legionnaire",98,35000000,4.5,"R"
"Lemony Snicket's A Series of Unfortunate Events",108,125000000,6.7,"PG"
"Lengua asesina, La",98,4000000,4,"R"
"Leprechaun",92,900000,3.6,"Missing"
"Leprechaun 2",86,2000000,3.6,"Missing"
"Less Like Me",121,30000,7.6,"Missing"
"Lethal Weapon",117,15000000,7.5,"Missing"
"Lethal Weapon 4",127,140000000,6.3,"R"
"Levity",100,7500000,6.4,"R"
"Leylasede",100,700000,6.6,"Missing"
"Lian ai zhong de Bao Bei",95,5000000,5.4,"Missing"
"Lianna",110,300000,6.9,"Missing"
"Liar Liar",86,45000000,6.5,"PG-13"
"Libera me",119,4000000,6.4,"Missing"
"Liberata Me",27,66000,6.7,"Missing"
"Liberty Bound",90,100000,4.7,"Missing"
"Liberty Stands Still",92,11000000,5.6,"R"
"Licence to Kill",133,40000000,6.2,"Missing"
"License Exam",2,1000,7,"Missing"
"License to Drive",88,8000000,5.3,"Missing"
"Life",108,75000000,5.8,"R"
"Life Aquatic with Steve Zissou, The",118,25000000,7.3,"R"
"Life Less Ordinary, A",103,12000000,6.4,"R"
"Life and Times of MC Beer Bong, The",85,1000,8.8,"Missing"
"Life as a House",127,18000000,7.5,"R"
"Life in Bed",75,750000,8.3,"Missing"
"Life of Brian",94,4000000,8.1,"Missing"
"Life of David Gale, The",130,50000000,7.1,"R"
"Life of Jimmy Dolan, The",89,202000,5.4,"Missing"
"Lifeforce",101,25000000,5.6,"Missing"
"Light It Up",99,13000000,5.7,"R"
"Light Sleeper",103,5000000,6.8,"Missing"
"Light in the Piazza",102,553280,6.5,"Missing"
"Lightning Over Braddock: A Rustbowl Fantasy",80,54000,5.8,"Missing"
"Lightning Over Water",116,700000,6.7,"Missing"
"Lights of New York",57,75000,5,"Missing"
"Like Mike",99,30000000,4.9,"PG"
"Lilies of the Field",94,240000,7.6,"Missing"
"Lilo & Stitch",86,80000000,7.3,"PG"
"Limbo",126,8300000,7.1,"R"
"Limey, The",89,9000000,7.2,"R"
"Line of Masculinity, The",4,1000,8.2,"Missing"
"Lion King, The",89,79300000,7.8,"Missing"
"Lionheart",105,2500000,5.1,"Missing"
"Liquid Lips",73,12000,5.7,"Missing"
"List of Adrian Messenger, The",98,3000000,7,"Missing"
"Lithivm",127,500000,3.3,"Missing"
"Little American, The",80,166949,7.1,"Missing"
"Little Black Book",111,35000000,4.7,"PG-13"
"Little Boy Lost",90,395000,4.9,"Missing"
"Little Fugitive",80,30000,7.7,"Missing"
"Little Giant, The",76,197000,6.8,"Missing"
"Little Minister, The",110,650000,6.4,"Missing"
"Little Nellie Kelly",98,665300,6.4,"Missing"
"Little Nicky",90,80000000,4.9,"PG-13"
"Little Odessa",98,2300000,6.5,"Missing"
"Little Secrets",97,2500000,6.9,"PG"
"Little Shop of Horrors",94,30000000,6.4,"Missing"
"Little Shop of Horrors, The",70,27000,6.2,"Missing"
"Little Vampire, The",91,22000000,5.6,"PG"
"Little Women",117,424000,7.4,"Missing"
"Littlest Cowboy, The",19,10000,7.5,"Missing"
"Live and Let Die",121,7000000,6.6,"Missing"
"Livers Ain't Cheap",89,2500000,4.5,"R"
"Living Daylights, The",130,30000000,6.4,"Missing"
"Living In Missouri",90,10000,8.2,"Missing"
"Living Life",88,150000,3.5,"Missing"
"Living Out Loud",103,12000000,6.5,"R"
"Living and Dining",92,100000,9,"Missing"
"Lizzie",87,500000,9,"Missing"
"Lizzie McGuire Movie, The",94,17000000,5,"PG"
"Llamada de apareamiento",3,2000,6.4,"Missing"
"Loaded Weapon 1",84,13000000,5.4,"Missing"
"Lobo Paramilitary Christmas Special, The",13,2400,3.5,"Missing"
"Logan's Run",120,9000000,6.5,"Missing"
"Lolita",152,2000000,7.6,"Missing"
"Lolita",137,58000000,6.8,"R"
"Lone Star",135,5000000,7.7,"R"
"Lone Wolf McQuade",105,5000000,5.4,"Missing"
"Lonelyland",15,7000,4.2,"Missing"
"Lonesome Jim",91,500000,4.1,"Missing"
"Long Gray Line, The",138,1748000,6.9,"Missing"
"Long Kiss Goodnight, The",120,65000000,6.5,"R"
"Long Riders, The",99,10000000,7,"Missing"
"Longest Day, The",180,8000000,7.7,"Missing"
"Look Who's Talking",93,7500000,5.5,"Missing"
"Lookin' to Get Out",105,17000000,3.6,"Missing"
"Looking Out",15,42000,9.4,"Missing"
"Looney Tunes: Back in Action",91,80000000,6.1,"PG"
"Lord of the Rings, The",132,8000000,5.8,"Missing"
"Lord of the Rings: The Fellowship of the Ring, The",208,93000000,8.8,"PG-13"
"Lord of the Rings: The Return of the King, The",251,94000000,9,"PG-13"
"Lord of the Rings: The Two Towers, The",223,94000000,8.8,"PG-13"
"Lorna",78,60000,4.9,"Missing"
"Loser",85,38000,7.2,"Missing"
"Loser",92,20000000,5.1,"PG-13"
"Losin' It",100,7000000,4.5,"Missing"
"Losing Isaiah",111,17000000,6.1,"R"
"Losing Lois Lane",20,6000,7.1,"Missing"
"Loss of Sexual Innocence, The",106,4000000,5.3,"R"
"Lost Boundaries",99,250000,6.9,"Missing"
"Lost Highway",135,15000000,7.3,"R"
"Lost Horizon",118,2000000,7.7,"Missing"
"Lost Horizon",150,12000000,4.4,"Missing"
"Lost Patrol, The",66,254000,7.4,"Missing"
"Lost Souls",97,28000000,4.6,"R"
"Lost Weekend, The",101,1250000,8.1,"Missing"
"Lost World: Jurassic Park, The",129,73000000,5.5,"PG-13"
"Lost in Alaska",80,672000,5.4,"Missing"
"Lost in Space",130,80000000,4.7,"PG-13"
"Lost in Translation",102,4000000,8,"R"
"Lost/Found",70,15000,8.4,"Missing"
"Lot Like Love, A",107,30000000,4.6,"PG-13"
"Louisiana Story",78,258000,7.7,"Missing"
"Love",90,350000,7.8,"Missing"
"Love & Basketball",124,15000000,6.7,"PG-13"
"Love Disease",108,60000,8.6,"Missing"
"Love God",82,22000,4,"Missing"
"Love Letter, The",88,15000000,5.2,"PG-13"
"Love Letters",98,550000,6.1,"Missing"
"Love Liza",90,1000000,6.6,"R"
"Love Me Tender",89,1000000,5.6,"Missing"
"Love Object",88,1000000,6.3,"R"
"Love Parade, The",107,650000,7.1,"Missing"
"Love Stinks",94,4000000,5.3,"R"
"Love Story",99,2200000,6.2,"PG"
"Love and Death",85,3000000,7.6,"Missing"
"Love and Other Catastrophes",78,250000,6.5,"R"
"Love in the Afternoon",125,2100000,7.3,"Missing"
"Love's Labour's Lost",93,13000000,5.9,"PG"
"Love, Ludlow",97,75000,8.6,"Missing"
"Lovely & Amazing",91,250000,6.9,"R"
"Lover Girl",87,1000000,5.3,"R"
"Lu mao zi",100,500000,7.5,"Missing"
"Lucky 13",95,1200000,5.7,"R"
"Lucky Break",108,6000000,6.3,"PG-13"
"Lucky Lady",118,13000000,4.6,"Missing"
"Lucky Numbers",105,65000000,5,"R"
"Luminarias",100,1000000,2.7,"R"
"Lumpia",80,1000,6,"Missing"
"Lunatics: A Love Story",87,850000,5.4,"Missing"
"Lunes al sol, Los",113,4000000,7.8,"R"
"Lurking Fear",76,1000000,4.2,"Missing"
"Luz prodigiosa, La",108,2000000,7,"Missing"
"M.D.C. - Maschera di cera",98,3000000,5.2,"Missing"
"MASH",112,3500000,7.8,"R"
"Macabre",72,150000,5.5,"Missing"
"Machuca",121,1500000,8.4,"Missing"
"Mackenna's Gold",136,7000000,6.2,"Missing"
"Macon County Line",89,225000,6.2,"Missing"
"Mad City",115,50000000,6,"PG-13"
"Mad Dogs",91,1400000,3.1,"Missing"
"Mad Love",68,257502,7.1,"Missing"
"Mad Max",93,350000,6.8,"Missing"
"Madadayo",134,11900000,7.4,"Missing"
"Madam Satan",115,980000,5.9,"Missing"
"Madchen's Uniform",13,1000,7.8,"Missing"
"Made",94,5000000,6.5,"R"
"Made Incorrect",18,25000,8.2,"Missing"
"Made in U.S.A.",90,50000,6.4,"Missing"
"Madhouse",91,3000000,5.4,"R"
"Madness and Genius",103,19000,6.4,"Missing"
"Madonna: Truth or Dare",114,4500000,5.5,"R"
"Magic Roundabout, The",85,20000000,5.7,"Missing"
"Magic of Marciano, The",100,4500000,6.7,"Missing"
"Magnetic Monster, The",76,105000,5.3,"Missing"
"Magnificent Ambersons, The",131,850000,8,"Missing"
"Magnolia",188,37000000,8,"R"
"Maid in Manhattan",105,55000000,4.6,"PG-13"
"Mailman, The",85,75000,7,"R"
"Majestic, The",156,72000000,6.7,"PG"
"Major Dundee",152,3800000,6.4,"PG-13"
"Major League",107,11000000,6.7,"Missing"
"Major and the Minor, The",100,928000,7.5,"Missing"
"Majorettes, The",92,85000,2.7,"Missing"
"Mala Noche",78,25000,7.5,"Missing"
"Mala nocna muzika",95,200000,4.5,"Missing"
"Mala racha",65,70000,8.5,"Missing"
"Malcolm X",202,34000000,7.5,"Missing"
"Male Order",23,10000,8.8,"Missing"
"Malibu Express",105,500000,3.9,"Missing"
"Malibu's Most Wanted",86,16000000,4.9,"PG-13"
"Mallrats",94,6100000,7.1,"R"
"Maltese Falcon, The",101,300000,8.4,"Missing"
"Mama",100,3000000,6,"Missing"
"Mamay",80,200000,6.6,"Missing"
"Mame",132,12000000,4.8,"Missing"
"Mammoth",8,2000,8.5,"Missing"
"Man Apart, A",110,36000000,5.4,"R"
"Man Betrayed, A",82,250000,4.7,"Missing"
"Man Called... Rainbo, A",99,35000,5.4,"Missing"
"Man From Planet X, The",70,50000,5.6,"Missing"
"Man Who Knew Too Much, The",120,2500000,7.4,"Missing"
"Man Who Shot Liberty Valance, The",123,3200000,8.2,"Missing"
"Man Who Wasn't There, The",118,20000000,7.7,"R"
"Man Who Would Be King, The",129,8000000,7.9,"Missing"
"Man Woman Film",95,35000,3.8,"Missing"
"Man for All Seasons, A",120,3900000,8,"Missing"
"Man from Elysian Fields, The",106,6500000,6.8,"R"
"Man from Hong Kong, The",111,450000,4.8,"Missing"
"Man in the Bath, The",7,10000,6.7,"Missing"
"Man in the Iron Mask, The",132,35000000,6,"PG-13"
"Man of Conquest",105,1000000,6.8,"Missing"
"Man of La Mancha",132,12000000,5.6,"Missing"
"Man of the House",97,40000000,5.2,"PG-13"
"Man on Fire",146,70000000,7.4,"R"
"Man on the Moon",118,52000000,7.3,"R"
"Man to Man",122,30000000,6,"Missing"
"Man with a Plan",89,100000,7.1,"Missing"
"Man with the Golden Gun, The",125,13000000,6.4,"Missing"
"Man's Best Friend",95,6000000,4.4,"Missing"
"Man-Thing",96,30000000,3.8,"R"
"Manhattan Baby",89,300000,4,"Missing"
"Manhattan Murder Mystery",104,13500000,7.3,"Missing"
"Manhunter",124,15000000,7.2,"Missing"
"Maniac",51,5000,3,"Missing"
"Maniac",85,350000,5.2,"Missing"
"Maniac Cop",85,1100000,5,"Missing"
"Maniac Cop 2",90,4000000,4.4,"Missing"
"Manito",79,24000,7.2,"Missing"
"Manitou, The",104,3000000,3.7,"Missing"
"Mannequin: On the Move",95,13000000,2.9,"Missing"
"Manners of Dying",104,750000,7.4,"Missing"
"Manny & Lo",88,500000,6.9,"R"
"Mantis in Lace",68,35000,3.6,"Missing"
"Maquinista, El",102,5000000,7.7,"R"
"March or Die",104,9000000,5.7,"Missing"
"Marci X",80,20000000,2.8,"R"
"Marco Polo: Haperek Ha'aharon",127,3300000,4.6,"Missing"
"Maria Chapdelaine",107,4600000,6.4,"Missing"
"Mariachi, El",81,220000,7,"Missing"
"Marie Antoinette",160,2926000,7.1,"Missing"
"Marilyn's Man",92,825000,7.6,"PG"
"Mark of Cain",90,1000000,4.1,"Missing"
"Mark of the Vampire",60,305177,6.2,"Missing"
"Marnie",130,3000000,7.1,"Missing"
"Marooned",134,8000000,5.1,"Missing"
"Marriage Circle, The",92,212000,8,"Missing"
"Mars",91,4500000,3.3,"Missing"
"Mars",100,2000000,6.8,"Missing"
"Mars Attacks!",106,70000000,6.1,"PG-13"
"Martin",95,800000,6.9,"Missing"
"Martin Lawrence Live: Runteldat",113,3000000,4.6,"R"
"Marty",94,343000,7.7,"Missing"
"Marvin's Room",98,23000000,6.5,"PG-13"
"Mary Jane's Not a Virgin Anymore",98,50000,5.9,"Missing"
"Mary Reilly",108,47000000,5.5,"R"
"Mask of Fu Manchu, The",68,327627,6.2,"Missing"
"Mask of Zorro, The",136,65000000,6.8,"PG-13"
"Mask, The",83,250000,4.3,"Missing"
"Mask, The",97,18000000,6.4,"Missing"
"Master Gunfighter, The",121,3500000,3.3,"Missing"
"Master and Commander: The Far Side of the World",138,150000000,7.5,"PG-13"
"Master of Disguise, The",80,16000000,2.9,"PG"
"Masters of the Universe",106,17000000,4.4,"Missing"
"Mata Hari",89,558000,6.8,"Missing"
"Matador, El",90,26000,7.1,"Missing"
"Match King, The",79,165000,6.6,"Missing"
"Matewan",132,4000000,7.6,"Missing"
"Matilda",102,36000000,6.5,"PG"
"Matrix Reloaded, The",138,127000000,7.1,"R"
"Matrix Revolutions, The",125,110000000,6.3,"R"
"Matrix, The",136,63000000,8.5,"R"
"Maurice",140,2600000,7.3,"Missing"
"Max Keeble's Big Move",86,12000000,5.3,"PG"
"Maximum Overdrive",97,10000000,4.3,"Missing"
"May",93,1700000,6.8,"R"
"Mayerling",140,5000000,5.6,"PG-13"
"Mayor of Hell, The",90,229000,6.8,"Missing"
"McHale's Navy",108,42000000,3.7,"PG"
"McLintock!",127,2000000,7,"Missing"
"Me, Myself & Irene",116,51000000,6,"R"
"Mean Creek",89,500000,7.3,"R"
"Mean Girls",97,17000000,7,"PG-13"
"Mean People Suck",8,10000,4.7,"Missing"
"Mean Streets",107,150000,7.5,"Missing"
"Meaning of Life, The",112,9000000,7.3,"Missing"
"Medallion, The",88,41000000,4.5,"PG-13"
"Medicine Man",106,40000000,5.7,"Missing"
"Medium Cool",110,800000,7.2,"Missing"
"Meet Joe Black",178,90000000,6.6,"PG-13"
"Meet Me in St. Louis",113,1707561,7.7,"Missing"
"Meet the Applegates",90,1000,5,"Missing"
"Meet the Deedles",93,24000000,3.4,"PG"
"Meet the Feebles",94,750000,6.5,"Missing"
"Meet the Fockers",115,80000000,6.5,"PG-13"
"Meet the Hollowheads",86,4800000,5,"Missing"
"Meet the Parents",108,55000000,7,"PG-13"
"Megaforce",99,20000000,2.7,"Missing"
"Megiddo: The Omega Code 2",104,22000000,3.8,"PG-13"
"Meili xin shijie",100,300000,5.3,"Missing"
"Memento",113,5000000,8.7,"R"
"Memoirs of an Evil Stepmother",18,20000,8,"Missing"
"Memoirs of an Invisible Man",99,40000000,5.6,"Missing"
"Memron",79,65000,9,"Missing"
"Men in Black",98,90000000,6.8,"PG-13"
"Men in Black II",88,140000000,5.6,"PG-13"
"Men in Love",85,350000,2.9,"Missing"
"Men of Action",15,30000,8.6,"Missing"
"Men of Honor",129,32000000,6.6,"R"
"Men of War",99,12000000,4.6,"R"
"Men with Brooms",102,7500000,5.9,"R"
"Menace II Society",97,3500000,7.3,"R"
"Meng long guojiang",90,130000,6.6,"Missing"
"Mercano, el marciano",72,600000,6.2,"Missing"
"Merchant of Venice, The",138,30000000,7.3,"R"
"Mercury Rising",108,60000000,5.6,"R"
"Mercy",112,5000,5.8,"Missing"
"Mercy Streets",106,600000,4.6,"PG-13"
"Merry Widow, The",137,608016,7.6,"Missing"
"Mesmerized",94,5654930,4.7,"Missing"
"Message in a Bottle",126,30000000,5.4,"PG-13"
"Message, The",177,10000000,7.5,"Missing"
"Meteor",107,16000000,4.5,"Missing"
"Metoroporisu",107,14500000,7.3,"PG-13"
"Metro",117,55000000,5.2,"R"
"Metropolis Apocalypse",11,20000,2,"Missing"
"Metropolitan",98,430000,7.1,"Missing"
"Mexican Dream, The",28,19000,6,"Missing"
"Mexican, The",123,38000000,6,"R"
"Michael Collins",133,25000000,6.8,"Missing"
"Michael Moore Hates America",125,200000,4.2,"R"
"Mickey",93,125000,7.1,"Missing"
"Mickey",90,6000000,5.4,"PG"
"Mickey Blue Eyes",102,40000000,5.8,"PG-13"
"Midnight Clear, A",107,5000000,7.5,"Missing"
"Midnight Cowboy",113,3600000,7.9,"Missing"
"Midnight Days",60,10000,2.8,"Missing"
"Midnight Express",121,2300000,7.6,"Missing"
"Midnight Run",126,30000000,7.5,"Missing"
"Midnight Sun",18,4000,1.6,"Missing"
"Midnight in the Garden of Good and Evil",155,30000000,6.4,"R"
"Midwestern Myth",89,250000,7.1,"Missing"
"Mighty Aphrodite",95,15000000,7,"R"
"Mighty Joe Young",114,49000000,5.6,"PG"
"Mildred Pierce",111,1500000,7.7,"Missing"
"Miles Ahead",83,55000,6.1,"Missing"
"Milking the Chicken",35,1000,6.2,"Missing"
"Milky Way, The",89,1032000,6.9,"Missing"
"Miller's Crossing",115,14000000,8,"Missing"
"Million Dollar Baby",132,30000000,8.3,"PG-13"
"Million Dollar Hotel, The",122,8000000,5.5,"R"
"Milpitas Monster, The",80,11000,3.4,"Missing"
"Mimic",105,25000000,5.6,"R"
"Mimmo & Paulie",29,12000,9.8,"Missing"
"Mind's Eye, The",96,750000,6.7,"Missing"
"MindField",63,6000,9,"Missing"
"Mindhunters",102,27000000,6.3,"R"
"Minion, The",95,12000000,3.2,"R"
"Minnie and Moskowitz",114,900000,7,"Missing"
"Minority Report",145,102000000,7.8,"PG-13"
"Mio West, Il",95,10000000,4.1,"Missing"
"Miracle Goes On, The",97,850000,9.4,"Missing"
"Miracle Mile",87,3000000,6.8,"Missing"
"Miracle Rider, The",306,80000,7.4,"Missing"
"Miracle Worker, The",106,500000,7.9,"Missing"
"Mirror Has Two Faces, The",122,42000000,5.7,"PG-13"
"Misadventures of Margaret, The",80,5000000,5.4,"Missing"
"Misbehavers, The",120,10000,7.7,"Missing"
"Misdemeanor",13,16000,8.9,"Missing"
"Misery",107,20000000,7.5,"Missing"
"Misfits, The",120,4000000,7.3,"Missing"
"Mishima: A Life in Four Chapters",121,5000000,7.5,"Missing"
"Miss Cast Away",90,2000000,4,"Missing"
"Miss Congeniality",109,45000000,6.2,"PG-13"
"Miss Pacific Fleet",66,202798,5.7,"Missing"
"Miss Supreme Queen",24,50000,5.6,"Missing"
"Missile to the Moon",78,65000,3.5,"Missing"
"Mission to Mars",113,90000000,4.9,"Missing"
"Mission to Moscow",124,1516000,6.6,"Missing"
"Mission: Impossible",110,75000000,6.6,"PG-13"
"Mission: Impossible II",123,125000000,5.7,"PG-13"
"Mississippi Burning",128,15000000,7.6,"Missing"
"Missy",71,5000,9.6,"Missing"
"Mix",97,1000000,5.9,"Missing"
"Mix Tape",97,15000,7.7,"Missing"
"Mo' Better Blues",130,10000000,6.1,"Missing"
