"","title","year","length","budget","rating","votes","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","mpaa","Action","Animation","Comedy","Drama","Documentary","Romance","Short"
"24362","Husk",2005,27,7500,3.3,14,14.5,0,14.5,0,0,0,24.5,4.5,4.5,34.5,"Missing",0,0,0,0,0,0,1
"24365","Hustlas",2002,90,1000000,5.2,5,44.5,0,0,0,0,0,44.5,0,0,24.5,"Missing",0,0,0,0,0,0,0
"24369","Hustler, The",1961,134,2000000,8.2,8220,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"Missing",0,0,0,1,0,0,0
"24395","Hypnotic Eye, The",1960,79,365000,5,47,4.5,4.5,4.5,4.5,4.5,14.5,14.5,4.5,4.5,24.5,"Missing",0,0,0,0,0,0,0
"24410","I Am Josh Polonski's Brother",2001,87,80000,5,46,4.5,14.5,4.5,4.5,4.5,4.5,4.5,24.5,14.5,24.5,"Missing",0,0,0,0,0,0,0
"24411","I Am My Resume",2003,15,30000,9.8,5,0,0,0,0,0,0,0,0,24.5,84.5,"Missing",0,0,0,0,0,0,1
"24413","I Am Sam",2001,132,22000000,7.2,9945,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,"PG-13",0,0,0,1,0,0,0
"24420","I Am a Fugitive from a Chain Gang",1932,93,195845,8.1,1198,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"Missing",0,0,0,1,0,0,0
"24431","I Capture the Castle",2003,111,8000000,7,947,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",0,0,0,1,0,1,0
"24432","I Come in Peace",1990,91,7000000,4.8,1033,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"Missing",1,0,0,0,0,0,0
"24437","I Cover the War",1937,68,70000,3.4,22,34.5,4.5,4.5,4.5,4.5,4.5,34.5,0,4.5,4.5,"Missing",1,0,0,0,0,0,0
"24441","I Died",2004,108,15000,3,5,24.5,44.5,0,24.5,0,24.5,0,0,0,0,"Missing",0,0,0,0,0,0,0
"24455","I Dreamed of Africa",2000,114,34000000,5.2,1113,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG-13",0,0,0,1,0,0,0
"24463","I Got the Hook Up",1998,93,3500000,3.2,412,34.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,"R",0,0,1,0,0,0,0
"24466","I Heart Huckabees",2004,106,22000000,7,7262,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"R",0,0,1,0,0,0,0
"24469","I Inside, The",2003,90,8800000,6,734,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",0,0,0,0,0,0,0
"24475","I Know What You Did Last Summer",1997,99,17000000,5.3,15932,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",0,0,0,0,0,0,0
"24500","I Love You Came Too Late",2004,85,125000,8,7,0,0,14.5,0,0,0,0,44.5,14.5,24.5,"Missing",0,0,0,1,0,1,0
"24516","I Married a Monster from Outer Space",1958,78,175000,6.3,287,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,4.5,14.5,"Missing",0,0,0,0,0,0,0
"24517","I Married a Strange Person!",1997,74,250000,6.2,391,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",0,1,1,1,0,0,0
"24527","I Never",2003,22,40000,3.4,5,44.5,24.5,0,24.5,0,0,0,0,24.5,0,"Missing",0,0,1,0,0,0,1
"24547","I Spy",2002,97,70000000,5.3,5521,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"PG-13",1,0,1,0,0,0,0
"24548","I Still Know What You Did Last Summer",1998,100,24000000,4,9524,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"R",0,0,0,0,0,0,0
"24553","I Take This Woman",1940,98,700000,5.1,52,4.5,4.5,4.5,4.5,14.5,24.5,4.5,4.5,4.5,14.5,"Missing",0,0,0,1,0,0,0
"24563","I Walk the Line",1970,95,4000000,6,211,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,14.5,"Missing",0,0,0,1,0,0,0
"24568","I Wanna Hold Your Hand",1978,104,2700000,6.7,530,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,"Missing",0,0,1,0,0,0,0
"24588","I Was a Teenage Werewolf",1957,76,82000,4.6,380,14.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,4.5,"Missing",0,0,0,0,0,0,0
"24629","I'll Be Seeing You",1945,85,3250000,6.8,130,0,0,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"Missing",0,0,0,1,0,0,0
"24634","I'll Bury You Tomorrow",2002,119,980000,6.7,41,14.5,4.5,4.5,4.5,0,14.5,4.5,14.5,14.5,34.5,"Missing",0,0,0,0,0,0,0
"24636","I'll Do Anything",1994,115,44000000,5.5,558,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"Missing",0,0,1,1,0,0,0
"24644","I'll Remember April",1999,90,1800000,6.2,222,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,4.5,24.5,"Missing",0,0,0,1,0,0,0
"24665","I'm No Angel",1933,87,225000,7.1,306,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,"Missing",0,0,1,0,0,1,0
"24683","I'm with Lucy",2002,90,15000000,6.2,646,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,1,0,0,1,0
"24692","I, Robot",2004,115,105000000,7,22330,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"PG-13",1,0,0,0,0,0,0
"24720","Ice Age",2002,81,60000000,7.3,22302,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"PG",0,1,1,0,0,0,0
"24723","Ice Cream Man",1995,84,2000000,4.2,349,24.5,4.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,24.5,"R",0,0,1,0,0,0,0
"24729","Ice Pirates, The",1984,91,9000000,4.9,1426,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"Missing",1,0,1,0,0,0,0
"24734","Ice Storm, The",1997,112,18000000,7.5,13115,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,"R",0,0,0,1,0,0,0
"24772","Ideal Husband, An",1999,97,14000000,7,4584,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"PG-13",0,0,1,0,0,1,0
"24779","Identity",2003,90,30000000,7.3,18747,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",0,0,0,1,0,0,0
"24793","Idle Hands",1999,92,20000000,5.4,5892,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,"R",0,0,1,0,0,0,0
"24840","Igby Goes Down",2002,99,9000000,7.1,7958,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",0,0,1,1,0,0,0
"24848","Igry motylkov",2004,105,1200000,7.3,23,14.5,0,0,4.5,0,4.5,14.5,34.5,14.5,24.5,"Missing",0,0,0,1,0,0,0
"24937","Imaginary Girls",2004,30,8000,7.6,7,14.5,14.5,0,0,0,0,0,0,0,74.5,"Missing",0,0,0,1,0,0,1
"24938","Imaginary Heroes",2004,112,10000000,7,411,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,24.5,"R",0,0,1,1,0,0,0
"24955","Imitation of Life",1959,125,2000000,7.4,1483,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"Missing",0,0,0,1,0,1,0
"24967","Immoral Mr. Teas, The",1959,63,24000,3.7,89,14.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"Missing",0,0,1,0,0,0,0
"24980","Impatient Years, The",1944,91,600000,6.8,8,0,0,0,0,34.5,0,34.5,24.5,0,0,"Missing",0,0,1,1,0,1,0
"24992","Importance of Being Earnest, The",2002,97,15000000,6.8,3598,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"PG",0,0,1,1,0,1,0
"25002","Impostor",2002,102,40000000,5.8,3292,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",1,0,0,1,0,0,0
"25019","In & Out",1997,92,35000000,6.2,10352,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0
"25026","In Cold Blood",1967,129,3500000,8,2406,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"Missing",0,0,0,1,0,0,0
"25029","In Crowd, The",2000,104,15000000,4,1342,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"PG-13",0,0,0,1,0,0,0
"25032","In Dreams",1999,98,30000000,5.3,3652,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,"R",0,0,0,0,0,0,0
"25058","In Old Amarillo",1951,67,184686,5.9,6,0,0,0,0,14.5,34.5,14.5,34.5,0,0,"Missing",0,0,0,0,0,0,0
"25062","In Old Chicago",1937,96,1800000,6.8,157,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"Missing",1,0,0,1,0,0,0
"25075","In Person",1935,87,493000,6.1,47,0,0,0,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"Missing",0,0,1,0,0,0,0
"25076","In Plain Sight",2004,86,50000,7.2,5,0,0,0,0,24.5,24.5,24.5,0,44.5,0,"Missing",0,0,1,0,0,0,0
"25097","In Their Absence",2003,8,3500,9.6,7,0,0,0,0,0,0,0,14.5,14.5,74.5,"Missing",0,0,0,1,0,0,1
"25099","In This World",2002,88,1900000,7.8,815,4.5,0,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,"R",0,0,0,1,0,0,0
"25101","In Too Deep",1999,95,7000000,5.8,978,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"Missing",0,0,0,1,0,0,0
"25132","In the Bedroom",2001,130,1700000,7.4,10177,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,"R",0,0,0,1,0,0,0
"25139","In the Company of Men",1997,97,25000,7.3,3618,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,"R",0,0,1,0,0,0,0
"25141","In the Cut",2003,119,12000000,5.1,4525,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",0,0,0,0,0,0,0
"25145","In the French Style",1963,105,750000,5.2,10,0,0,0,14.5,34.5,34.5,14.5,14.5,0,14.5,"Missing",0,0,0,1,0,1,0
"25150","In the Heat of the Night",1967,109,2000000,8,6752,4.5,4.5,4.5,4.5,4.5,4.5,14.5,34.5,24.5,14.5,"Missing",0,0,0,1,0,0,0
"25153","In the Land of Milk and Money",2004,89,150000,5.6,7,0,24.5,0,0,14.5,14.5,14.5,14.5,14.5,0,"Missing",0,0,1,0,0,0,0
"25156","In the Line of Fire",1993,138,40000000,7.3,12923,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"Missing",0,0,0,1,0,0,0
"25162","In the Mouth of Madness",1994,95,14000000,6.5,4835,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,"Missing",0,0,0,0,0,0,0
"25178","In the Shadows",2001,105,10000000,4.8,268,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,4.5,"R",0,0,0,1,0,0,0
"25186","In the Woods",1999,90,252000,1.9,256,74.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,"Missing",0,0,0,0,0,0,0
"25198","Inamorata",2004,112,5000,7.8,6,0,14.5,0,0,0,0,0,34.5,14.5,34.5,"Missing",0,0,0,0,0,0,1
"25217","Inchon",1981,140,46000000,3.3,131,45.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,"Missing",0,0,0,1,0,0,0
"25219","Incident at Loch Ness",2004,94,1400000,6.4,251,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,4.5,14.5,"PG-13",0,0,1,0,0,0,0
"25247","Incredible Shrinking Man, The",1957,81,750000,7.6,1544,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,"Missing",0,0,0,0,0,0,0
"25250","Incredibles, The",2004,121,92000000,8.3,30749,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,34.5,"PG",1,1,1,0,0,0,0
"25251","Incredibly Strange Creatures Who Stopped Living and Became Mixed-Up Zombies!!?, The",1964,82,38000,2.2,695,45.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,"Missing",0,0,0,0,0,0,0
"25252","Incredibly True Adventure of Two Girls in Love, The",1995,94,250000,6.5,795,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,"R",0,0,1,1,0,1,0
"25264","Indecent Proposal",1993,117,38000000,5.3,7397,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"Missing",0,0,0,1,0,1,0
"25272","Independence Day",1996,153,75000000,6.1,61831,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,"PG-13",1,0,0,0,0,0,0
"25291","Indian in the Cupboard, The",1995,96,45000000,5.8,1430,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"PG",0,0,0,0,0,0,0
"25292","Indiana Jones and the Last Crusade",1989,127,48000000,8.1,61583,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"Missing",1,0,0,0,0,0,0
"25293","Indiana Jones and the Temple of Doom",1984,118,28000000,7.2,34880,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"Missing",1,0,0,0,0,0,0
"25330","Inferno",1980,102,3000000,6.2,1245,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,"Missing",0,0,0,0,0,0,0
"25348","Informer, The",1935,91,243000,7.3,599,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,"Missing",0,0,0,1,0,0,0
"25397","Innocence Project, The",2004,26,1000,9.8,6,0,0,0,0,0,0,0,0,14.5,84.5,"Missing",0,0,0,0,1,0,1
"25398","Innocent",2001,16,25000,7,8,14.5,0,0,0,14.5,0,24.5,14.5,0,34.5,"Missing",0,0,0,1,0,0,1
"25414","Innsmouth Legacy",2004,10,1000,6.4,8,24.5,0,14.5,0,0,0,0,24.5,0,34.5,"Missing",0,0,0,1,0,0,1
"25435","Inseminoid",1981,93,2000000,2.8,248,34.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,"Missing",1,0,0,1,0,0,0
"25439","Inside",2002,8,5000,7.4,36,4.5,4.5,4.5,0,4.5,14.5,4.5,14.5,14.5,34.5,"Missing",0,0,0,0,0,0,1
"25442","Inside Daisy Clover",1965,128,4500000,6.1,340,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"Missing",0,0,1,1,0,1,0
"25464","Insider, The",1999,157,68000000,8,28780,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,"R",0,0,0,1,0,0,0
"25465","Insight of Evil",2003,80,120000,5.1,11,34.5,34.5,0,0,0,0,0,0,14.5,4.5,"R",0,0,0,0,0,0,0
"25473","Insomnia",2001,6,0,7.1,13,4.5,4.5,0,4.5,0,14.5,14.5,24.5,4.5,14.5,"Missing",0,0,0,1,0,0,1
"25474","Insomnia",2002,118,46000000,7.3,22235,4.5,4.5,4.5,4.5,4.5,14.5,24.5,34.5,14.5,4.5,"R",0,0,0,1,0,0,0
"25476","Insomniac's Nightmare, An",2003,31,20000,7,57,4.5,4.5,0,0,4.5,4.5,4.5,24.5,14.5,44.5,"Missing",0,0,0,1,0,0,1
"25483","Inspector Gadget",1999,78,75000000,4,5288,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"PG",1,0,1,0,0,0,0
"25490","Inspiration",1931,74,438000,6,65,0,4.5,4.5,4.5,14.5,14.5,34.5,14.5,4.5,4.5,"Missing",0,0,0,1,0,0,0
"25494","Instinct",1999,126,55000000,6.1,6298,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"25500","Insutooru",2004,94,2000000,6.1,7,14.5,0,14.5,14.5,0,0,14.5,14.5,0,24.5,"Missing",0,0,0,1,0,0,0
"25505","Intended, The",2002,110,3800000,6.8,40,4.5,4.5,4.5,4.5,0,24.5,24.5,14.5,14.5,14.5,"R",0,0,0,1,0,0,0
"25515","Interiors",1978,93,10000000,7.1,1736,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"Missing",0,0,0,1,0,0,0
"25517","Intermezzo: A Love Story",1939,70,800000,6.7,305,4.5,4.5,4.5,4.5,14.5,14.5,34.5,14.5,4.5,4.5,"Missing",0,0,0,1,0,1,0
"25518","Intermission",2003,102,5000000,6.4,1971,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,"R",0,0,1,1,0,0,0
"25519","Intermission",2004,14,30000,7.6,16,0,0,4.5,4.5,0,14.5,14.5,4.5,14.5,34.5,"Missing",0,0,0,0,0,0,1
"25536","Interpreter, The",2005,128,80000000,6.6,4678,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,"PG-13",0,0,0,1,0,0,0
"25539","Interruption, The",2004,25,70000,5.5,14,0,0,24.5,0,0,4.5,14.5,0,0,45.5,"Missing",0,0,0,1,0,0,1
"25541","Interstate 60",2002,116,7000000,7.7,2495,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"R",0,0,1,1,0,0,0
"25549","Interview with the Assassin",2002,88,750000,6.7,409,4.5,0,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,"R",0,0,0,1,0,0,0
"25550","Interview with the Vampire: The Vampire Chronicles",1994,123,50000000,7.2,26698,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"Missing",0,0,0,1,0,0,0
"25565","Intimations",2004,20,39000,8,9,0,14.5,0,0,0,0,14.5,34.5,14.5,34.5,"Missing",0,0,0,1,0,0,1
"25579","Into the Sun",2005,97,16000000,4,481,14.5,4.5,14.5,4.5,14.5,4.5,4.5,4.5,4.5,14.5,"R",1,0,0,0,0,0,0
"25583","Intolerable Cruelty",2003,100,60000000,6.6,11967,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,"PG-13",0,0,1,0,0,1,0
"25587","Intolerance: Love's Struggle Through the Ages",1916,197,385907,7.8,1493,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,"Missing",0,0,0,1,0,0,0
"25596","Intruder",1989,83,100000,5.4,264,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,"Missing",0,0,0,0,0,0,0
"25599","Intruder, The",1962,84,80000,8,163,0,4.5,0,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"PG-13",0,0,0,1,0,0,0
"25612","Invaders from Mars",1986,99,12000000,4.6,675,4.5,4.5,14.5,14.5,24.5,14.5,14.5,4.5,4.5,4.5,"Missing",0,0,0,0,0,0,0
"25617","Invasion U.S.A.",1985,107,10000000,3.9,692,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"Missing",1,0,0,0,0,0,0
"25618","Invasion USA",1952,73,127000,2.8,130,34.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,0,4.5,"Missing",0,0,0,1,0,0,0
"25623","Invasion of the Blood Farmers",1972,84,40000,3.1,93,44.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,"Missing",0,0,0,0,0,0,0
"25624","Invasion of the Body Snatchers",1956,80,417000,7.8,5286,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,"Missing",0,0,0,0,0,0,0
"25628","Invasion of the Space Preachers",1990,100,100000,4.7,26,14.5,4.5,4.5,4.5,0,4.5,4.5,4.5,4.5,34.5,"Missing",0,0,0,0,0,0,0
"25631","Invasions barbares, Les",2003,112,5000000,7.9,4900,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"R",0,0,1,1,0,0,0
"25643","Invincible Kung Fu Guy, The",1994,23,3000,8.3,6,0,0,0,0,0,0,34.5,14.5,34.5,14.5,"Missing",0,0,0,0,0,0,1
"25646","Invisible Agent",1942,81,322000,6,78,4.5,0,4.5,4.5,24.5,34.5,14.5,14.5,4.5,4.5,"Missing",0,0,1,0,0,0,0
"25664","Invisible Stripes",1939,81,500000,6.8,111,4.5,4.5,4.5,0,4.5,24.5,34.5,14.5,4.5,4.5,"Missing",0,0,0,1,0,0,0
"25676","Invitation to the Dance",1956,93,1500000,6.4,86,4.5,0,4.5,4.5,14.5,24.5,14.5,14.5,14.5,4.5,"Missing",0,1,0,0,0,0,0
"25677","Invitation to the Wedding",1985,90,8000000,4.3,7,14.5,0,0,24.5,14.5,0,0,24.5,14.5,0,"Missing",0,0,1,0,0,0,0
"25736","Irma la Douce",1963,135,5000000,7.2,1964,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"Missing",0,0,1,0,0,1,0
"25743","Iron Giant, The",1999,86,48000000,7.9,15151,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"PG",0,1,0,0,0,0,0
"25764","Irrefutable Truth About Demons, The",2000,90,500000,5.3,340,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,14.5,"Missing",0,0,0,0,0,0,0
"25770","Is It True What They Say About Ann?",2004,40,5000,7.3,25,34.5,4.5,0,0,0,4.5,4.5,4.5,4.5,44.5,"Missing",0,0,0,0,1,0,1
"25787","Ish HaHashmal",2003,90,900000,4.5,6,0,0,0,34.5,14.5,14.5,0,14.5,0,14.5,"Missing",0,0,0,1,0,0,0
"25791","Ishtar",1987,107,40000000,3.7,3479,14.5,14.5,4.5,4.5,4.5,4.5,4.5,14.5,4.5,14.5,"Missing",0,0,1,0,0,0,0
"25804","Island in the Sky",1953,109,967000,5.5,100,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,44.5,"Missing",0,0,0,1,0,0,0
"25805","Island in the Sun",1957,119,2250000,5.8,102,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"Missing",0,0,0,1,0,1,0
"25808","Island of Dr. Moreau, The",1977,99,6000000,5.4,620,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"Missing",0,0,0,0,0,1,0
"25809","Island of Dr. Moreau, The",1996,99,40000000,4,5983,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"PG-13",0,0,0,0,0,0,0
"25821","Island, The",1980,114,22000000,4.7,434,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"Missing",0,0,0,0,0,0,0
"25823","Island, The",2000,4,30000,9.8,5,0,0,0,0,0,0,0,0,24.5,84.5,"Missing",0,0,0,0,0,0,1
"25835","Isn't She Great",2000,95,36000000,4.8,688,14.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",0,0,1,1,0,1,0
"25850","Issues 101",2002,90,75000,3.6,74,44.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,4.5,4.5,"Missing",0,0,0,1,0,1,0
"25862","It Came from Hollywood",1982,80,5000000,5.5,240,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,"Missing",0,0,1,0,1,0,0
"25863","It Came from Outer Space",1953,81,800000,6.4,798,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"Missing",0,0,0,0,0,0,0
"25870","It Happened Here",1966,97,20000,6.5,160,4.5,4.5,4.5,4.5,14.5,14.5,24.5,24.5,14.5,14.5,"Missing",0,0,0,1,0,0,0
"25872","It Happened One Night",1934,105,325000,8.3,7924,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,34.5,"Missing",0,0,1,0,0,1,0
"25881","It Happened on 5th Avenue",1947,116,1700000,7.6,69,0,0,0,0,4.5,4.5,4.5,14.5,14.5,64.5,"Missing",0,0,1,0,0,0,0
"25898","It Started with Eve",1941,90,1166000,7.4,136,4.5,0,4.5,0,4.5,4.5,14.5,14.5,24.5,34.5,"Missing",0,0,1,0,0,0,0
"25911","It's Always Fair Weather",1955,102,2062256,7,324,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"Missing",0,0,1,1,0,0,0
"25918","It's Hard",2000,13,15000,4.8,5,0,0,0,44.5,0,24.5,24.5,0,0,24.5,"Missing",0,0,0,0,0,0,1
"25921","It's Impossible to Learn to Plow by Reading Books",1988,85,3000,5.2,58,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,14.5,"Missing",0,0,0,1,0,0,0
"25958","It's a Mad Mad Mad Mad World",1963,192,9400000,7.2,5891,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,24.5,"Missing",1,0,1,0,0,0,0
"25962","It's a Wonderful Life",1946,118,3180000,8.6,41199,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,44.5,"Missing",0,0,0,1,0,1,0
"25977","Italian Job, The",2003,111,60000000,6.9,18496,4.5,4.5,4.5,4.5,4.5,14.5,34.5,24.5,4.5,4.5,"PG-13",1,0,0,0,0,0,0
"26040","J-K Conspiracy, The",2004,89,44000,9.2,20,0,0,4.5,0,0,0,0,24.5,4.5,74.5,"Missing",0,0,1,0,0,0,0
"26048","JFK",1991,206,40000000,7.8,26456,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"R",0,0,0,1,0,0,0
"26055","Jabberwocky",1977,105,500000,6,2109,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"Missing",0,0,1,0,0,0,0
"26057","Jack",1996,113,45000000,5.2,5256,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"PG-13",0,0,1,1,0,0,0
"26062","Jack Be Nimble",1993,92,750000,5.8,123,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,"Missing",0,0,0,0,0,0,0
"26066","Jack Frost",1998,101,50000000,4.5,2130,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG",0,0,1,1,0,0,0
"26078","Jack and the Beanstalk",1952,78,683000,5.2,268,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"Missing",0,0,1,0,0,0,0
"26082","Jack of Diamonds",2001,84,1500000,1.7,6,14.5,0,0,0,0,34.5,0,14.5,0,34.5,"Missing",1,0,0,0,0,0,0
"26094","Jackal, The",1997,124,60000000,5.7,12753,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,0,0,0,0,0
"26098","Jackass: The Movie",2002,87,5000000,6.1,8893,14.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,"R",0,0,1,0,1,0,0
"26100","Jacket, The",2005,102,19000000,6.4,1564,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,24.5,"R",0,0,0,0,0,0,0
